"","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","wyId","foot","shortName","currentNationalTeamId","passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","city","name","officialName","type","area.name","area.id","area.alpha3code","area.alpha2code"
"1",76,"Jos\u00e9 Ignacio","","Fern\u00e1ndez Iglesias",675,"1990-01-18",180,3304,"right","Nacho","1598","Spain","724","ESP","ES","DF","DEF","Defender","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"2",82,"Sergio","","Ramos Garc\u00eda",675,"1986-03-30",184,3306,"right","Sergio Ramos","1598","Spain","724","ESP","ES","DF","DEF","Defender","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"3",81,"Rapha\u00ebl","","Varane",675,"1993-04-25",191,3309,"right","R. Varane","4418","Martinique","474","MTQ","MQ","DF","DEF","Defender","France","250","FRA","FR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"4",80,"Marcelo","","Vieira da Silva J\u00fanior",675,"1988-05-12",174,3310,"left","Marcelo","6380","Spain","724","ESP","ES","DF","DEF","Defender","Brazil","76","BRA","BR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"5",81,"Karim","","Benzema",675,"1987-12-19",185,3321,"right","K. Benzema","null","Algeria","12","DZA","DZ","FW","FWD","Forward","France","250","FRA","FR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"6",79,"Francisco Rom\u00e1n","","Alarc\u00f3n Su\u00e1rez",675,"1992-04-21",176,3563,"right","Isco","1598","Spain","724","ESP","ES","MD","MID","Midfielder","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"7",84,"Francisco","","Casilla Cort\u00e9s",675,"1986-10-02",191,3785,"right","Kiko Casilla","null","Spain","724","ESP","ES","GK","GKP","Goalkeeper","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"8",78,"Keylor","","Navas Gamboa",675,"1986-12-15",185,3915,"right","K. Navas","16871","Spain","724","ESP","ES","GK","GKP","Goalkeeper","Costa Rica","188","CRI","CR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"9",70,"Lucas","","V\u00e1zquez Iglesias",675,"1991-07-01",173,4498,"right","Lucas V\u00e1zquez","1598","Spain","724","ESP","ES","FW","FWD","Forward","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"10",73,"Daniel","","Carvajal Ramos",675,"1992-01-11",173,4501,"right","Daniel Carvajal","1598","Spain","724","ESP","ES","DF","DEF","Defender","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"11",84,"Carlos Henrique","","Casimiro",675,"1992-02-23",185,40756,"right","Casemiro","6380","Brazil","76","BRA","BR","MD","MID","Midfielder","Brazil","76","BRA","BR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"12",81,"Gareth Frank","","Bale",675,"1989-07-16",185,8278,"left","G. Bale","10682","Wales","0","XWA","","FW","FWD","Forward","Wales","0","XWA","","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"13",66,"Luka","","Modri\u0107",675,"1985-09-09",172,8287,"right","L. Modri\u0107","9598","Croatia","191","HRV","HR","MD","MID","Midfielder","Croatia","191","HRV","HR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
